"Timestamp","By proceeding with this survey, you confirm that you understand and agree to the processing of your responses for academic research purposes. Your participation is entirely voluntary, and you may withdraw at any time before submitting the form. The survey does not collect any personally identifiable information, and all data will be treated with strict confidentiality. Your responses will remain anonymous and will be used solely for analysis related to this study. The results may be shared in academic reports or presentations, but no individual respondent will be identifiable. By continuing, you give your informed consent to participate in this research conducted by Pranav Arora.","Age","Age","Gender","Have you ever used a dating app?","Have you heard of AI tools (like RizzAI, YourMoveAI) being used in dating conversations?","How comfortable are you with the idea of someone using AI to help write messages on a dating app?","Do you think it’s ethical to use AI to craft flirty or emotional messages in dating apps?","In your opinion, using AI for dating chats is...","Imagine you are chatting with someone on a dating app, and later you find out they used AI to write most of their messages. How would you feel? 
(Select all that apply)","Would it matter more to you if AI were used in the early stages vs. during an established relationship?","If your romantic partner used AI to write messages during a conflict (e.g., apology, emotional support), how would you react?","Would you consider using AI yourself to
1. Break the ice","Would you consider using AI yourself to
2. Make your texts more charming or witty","Would you consider using AI yourself to
3. Write difficult messages during a disagreement","Would you consider using AI yourself to
4. Craft a romantic message for a special occasion","How strongly do you associate authenticity with human-only communication in relationships?","Do you believe that using AI in dating communication could damage long-term trust in a relationship?","Should people be required to disclose if they used AI to write a message in dating contexts?","Would you trust someone less if you found out they relied heavily on AI in your early conversations?"
"2025/06/28 1:06:22 pm EEST","I Agree","18-24","","Male","Yes","Yes","5","No","A useful tool for shy people","Betrayed;Deceived","I am not sure","4","1","4","4","5","1","Maybe","Yes, always","3"
"2025/06/28 1:06:35 pm EEST","I Agree","25-34","","Male","Yes","No","1","Yes","A harmless shortcut","Unbothered","Equally acceptable in both","2","2","2","2","2","2","No","No, it's not necessary","1"
"2025/06/28 1:06:57 pm EEST","I Agree","18-24","","Male","Yes","Yes","4","No","A harmless shortcut","Deceived","In the early stage of dating (e.g., first chats) is acceptable","2","4","2","2","4","4","Yes","Yes, always","3"
"2025/06/28 1:09:51 pm EEST","I Agree","18-24","","Male","No","No","3","Depends on the context","A form of deception","Disappointed ","In the early stage of dating (e.g., first chats) is acceptable","3","2","3","3","3","1","Yes","No, it's not necessary","2"
"2025/06/28 1:26:44 pm EEST","I Agree","18-24","","Male","Yes","No","5","Depends on the context","A form of deception","Curious;Unbothered","AI use is never acceptable","2","4","4","4","4","1","Maybe","Yes, always","1"
"2025/06/28 1:26:49 pm EEST","I Agree","18-24","","Male","No","Yes","3","Depends on the context","A threat to authentic communication","Betrayed;Deceived","I am not sure","4","3","2","4","2","2","Maybe","No, it's not necessary","2"
"2025/06/28 1:34:01 pm EEST","I Agree","18-24","","Male","No","Yes","3","No","A harmless shortcut","Unbothered","Equally acceptable in both","3","2","3","3","3","3","Yes","Only in serious situations","3"
"2025/06/28 1:34:32 pm EEST","I Agree","25-34","","Female","No","No","5","Yes","A harmless shortcut","Impressed","In the early stage of dating (e.g., first chats) is acceptable","2","1","1","4","1","3","No","Only in serious situations","3"
"2025/06/28 1:36:08 pm EEST","I Agree","18-24","","Female","No","Not Sure","3","Depends on the context","A useful tool for shy people","Unbothered","In the early stage of dating (e.g., first chats) is acceptable","4","3","3","3","3","3","Maybe","No, it's not necessary","3"
"2025/06/28 1:38:28 pm EEST","I Agree","18-24","","Female","No","Yes","5","No","A form of deception","Deceived","AI use is never acceptable","5","2","4","5","5","1","Yes","Yes, always","2"
